STAFF,Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Apr Utilization%,May Utilization%,Jun Utilization%,Jul Utilization%,Aug Utilization%,Sep Utilization%,Oct Utilization%,Nov Utilization%,Dec Utilization%,Jan Utilization%,Feb Utilization%,Mar Utilization%,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%
Staff 16-17,1,PC - 1,Rochette Jilleen,Level 2,Location 3,Client Service Staff,Level 1/2,Idalina Lauraine,2000-09-30,Active,,34.38%,19.05%,7.89%,51.49%,11.90%,56.03%,35.33%,24.34%,61.76%,47.22%,33.33%,52.57%,2088.00,1802.00,636.00,216.00,70.00,1192.00,56.00,35.29%
Staff 16-17,2,PC - 2,Daryl Natalina,Level 2,Location 7,Client Service Staff,Level 1/2,Idalina Lauraine,1999-05-31,Active,,35.53%,15.79%,50.00%,18.75%,20.24%,18.84%,6.88%,17.50%,39.71%,17.68%,0.00%,99.18%,2088.00,1882.00,555.50,156.00,50.00,694.00,734.00,29.52%
Staff 16-17,3,PC - 2,Annnora Gabrielle,Level 2,Location 7,Client Service Staff,Level 1/2,Idalina Lauraine,2001-01-31,Active,,40.97%,28.53%,25.60%,50.90%,74.38%,26.64%,41.12%,30.48%,91.18%,61.51%,37.83%,126.44%,2088.00,1898.50,1004.50,144.00,45.50,507.00,549.50,52.91%
Staff 16-17,4,PC - 3,Barbee Joey,Level 2,Location 1,Client Service Staff,Level 1/2,Idalina Lauraine,2000-09-30,Active,,11.18%,13.13%,15.34%,34.32%,12.50%,7.63%,3.29%,6.88%,1.47%,15.05%,20.89%,30.11%,2088.00,1851.00,273.00,208.00,29.00,1382.00,255.00,14.75%
Staff 16-17,5,PC - 4,Idalina Lauraine,Level 1,Location 3,Client Service Staff,Level 1/2,Abagail Druci,1998-06-30,Active,,2.38%,6.55%,7.95%,10.91%,8.75%,4.76%,5.00%,105.00%,30.00%,0,0,0,1312.00,1205.00,149.00,104.00,3.00,1159.00,818.00,12.37%
Staff 16-17,6,PC - 1,Jordanna Danya,Level 2,Location 3,Client Service Staff,Level 1/2,Idalina Lauraine,2002-06-30,Active,,16.88%,45.39%,10.23%,36.31%,25.00%,19.64%,4.22%,39.71%,13.64%,34.62%,27.63%,51.52%,2088.00,1823.00,471.00,260.00,5.00,1420.00,261.00,25.84%
Staff 16-17,7,PC - 1,Irene Candis,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2004-07-31,Active,,11.90%,31.16%,15.85%,19.09%,25.32%,48.30%,6.06%,16.39%,20.97%,12.50%,29.05%,2.86%,2088.00,1736.00,355.00,270.00,82.00,1052.00,383.00,20.45%
Staff 16-17,8,PC - 3,Kakalina Lorry,Level 4,Location 1,Client Service Staff,Serving Notice Period,Tallia Eyde,2004-07-31,Resigned,2017-01-31,32.24%,13.64%,0.00%,10.00%,0.00%,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,0,1744.00,1528.00,97.00,216.00,0.00,1264.00,192.00,6.35%
Staff 16-17,9,PC - 2,Marleah Bernadina,Level 3,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2004-09-30,Active,,22.37%,22.22%,31.58%,38.10%,48.78%,20.51%,23.81%,25.00%,18.46%,25.64%,41.45%,4.61%,2088.00,1790.00,488.00,298.00,10.00,1036.00,276.00,27.26%
Staff 16-17,10,PC - 5,Guenevere Florida,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2004-10-31,Active,,12.82%,12.50%,11.36%,32.24%,13.97%,10.63%,9.21%,16.91%,11.76%,15.91%,19.17%,20.65%,2088.00,1860.00,289.00,220.00,8.00,1251.00,322.00,15.54%
Staff 16-17,11,PC - 3,Aili Nessy,Level 4,Location 1,Client Service Staff,Serving Notice Period,Cacilia Aimee,2004-11-30,Resigned,2017-01-31,5.00%,45.45%,109.09%,28.57%,25.00%,105.26%,57.89%,15.00%,22.73%,83.33%,0,0,1616.00,1528.00,720.00,88.00,0.00,0.00,888.00,47.12%
Staff 16-17,12,PC - 3,Revkah Stephie,Level 2,Location 1,Client Service Staff,Level 1/2,Barbee Joey,2004-11-30,Active,,136.18%,78.41%,34.09%,78.75%,106.82%,59.74%,59.38%,63.16%,70.59%,77.78%,70.63%,145.11%,2088.00,1898.00,1571.00,172.00,18.00,386.00,190.00,82.77%
Staff 16-17,13,PC - 3,Cacilia Aimee,Level 2,Location 1,Client Service Staff,Level 1/2,Idalina Lauraine,2004-12-31,Active,,12.50%,15.14%,1.17%,33.33%,0.00%,83.06%,-4.00%,0.00%,3.68%,0.00%,24.38%,59.09%,2088.00,1848.50,331.00,168.00,71.50,1175.00,875.50,17.91%
Staff 16-17,14,PC - 6,Tallia Eyde,Level 2,Location 1,Client Service Staff,Level 1/2,Idalina Lauraine,2005-02-28,Active,,45.83%,1.14%,0.63%,0.00%,4.55%,97.37%,1.32%,93.75%,5.88%,1.27%,1.25%,15.22%,2088.00,1886.00,421.00,200.00,2.00,993.00,622.00,22.32%
Staff 16-17,15,PC - 3,Peria Maryjo,Level 4,Location 2,Client Service Staff,Serving Notice Period,Barbee Joey,2005-02-28,Resigned,2016-08-31,0.00%,37.50%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,872.00,766.00,36.00,104.00,2.00,0.00,746.00,4.70%
Staff 16-17,16,PC - 3,Zaria Dawn,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2005-11-30,Active,,76.25%,31.82%,97.96%,152.38%,-43.75%,102.38%,0.00%,85.00%,35.29%,33.33%,0.00%,4.35%,2088.00,1899.50,958.00,176.00,12.50,1068.00,11.50,50.43%
Staff 16-17,17,PC - 1,Trudey Lissi,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2005-12-31,Active,,58.33%,1.19%,2.27%,57.14%,85.00%,7.39%,3.79%,27.63%,47.66%,6.82%,21.53%,3.68%,2088.00,1884.00,505.00,184.00,20.00,0.00,1391.00,26.80%
Staff 16-17,18,PC - 3,Marina Garnette,Level 3,Location 1,Client Service Staff,Confirmed Staff,Barbee Joey,2006-01-31,Active,,8.75%,25.57%,0.00%,0.00%,4.29%,7.39%,3.85%,0.00%,12.50%,13.19%,1.88%,10.87%,2088.00,1875.00,141.00,176.00,37.00,256.00,1508.00,7.52%
Staff 16-17,19,PC - 3,Cordey Sofia,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2006-05-31,Active,,10.00%,0.00%,13.16%,14.63%,58.14%,36.54%,11.11%,13.75%,30.00%,6.25%,0.00%,0.00%,2088.00,1888.00,301.00,200.00,0.00,20.00,1647.00,15.94%
Staff 16-17,20,PC - 5,Leonanie Lexine,Level 6,Location 7,Client Service Staff,Confirmed Staff,Orsa Margeaux,2006-06-30,Active,,126.25%,110.94%,143.18%,118.73%,119.59%,115.06%,106.67%,106.54%,118.45%,124.39%,128.24%,122.16%,2088.00,1868.00,2249.00,152.00,68.00,0.00,16.00,120.40%
Staff 16-17,21,PC - 1,Alvinia Ede,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2006-07-31,Active,,37.50%,67.05%,20.00%,84.52%,143.48%,112.50%,71.43%,80.00%,31.62%,36.36%,15.79%,19.57%,2088.00,2008.00,1232.00,80.00,0.00,767.00,34.00,61.35%
Staff 16-17,22,PC - 2,Marys Essy,Level 3,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2006-11-30,Active,,100.00%,110.29%,38.75%,131.58%,115.22%,57.14%,-6.67%,0.00%,0.00%,47.62%,70.00%,129.38%,2088.00,1888.00,1279.00,200.00,0.00,0.00,705.00,67.74%
Staff 16-17,23,PC - 1,Em Cacilie,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2006-12-31,Active,,23.81%,23.81%,31.25%,48.75%,18.75%,32.39%,75.00%,0.00%,118.75%,0.00%,0.00%,33.15%,2088.00,1853.00,605.00,224.00,11.00,1256.00,8.00,32.65%
Staff 16-17,24,PC - 5,Rina Debee,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2006-12-31,Active,,5.13%,0.00%,7.58%,0.00%,7.50%,14.24%,10.00%,12.50%,11.03%,0.00%,0.00%,0.00%,2088.00,1866.00,102.50,172.00,50.00,195.00,1599.50,5.49%
Staff 16-17,25,PC - 3,Oriana Tabby,Level 3,Location 4,Client Service Staff,Confirmed Staff,Barbee Joey,2007-01-31,Active,,62.50%,35.98%,43.75%,85.71%,33.33%,9.20%,14.16%,35.14%,44.44%,32.00%,80.00%,91.30%,2088.00,1834.50,876.00,204.00,49.50,192.00,807.50,47.75%
Staff 16-17,26,PC - 3,Marney Anderea,Level 4,Location 2,Client Service Staff,Confirmed Staff,Revkah Stephie,2007-03-31,Active,,66.67%,103.75%,81.82%,131.90%,67.50%,117.65%,38.10%,90.00%,122.22%,97.35%,100.00%,102.22%,2088.00,1818.50,1673.00,260.00,9.50,4.00,161.50,92.00%
Staff 16-17,27,PC - 3,Danette Melinda,Level 4,Location 4,Client Service Staff,Confirmed Staff,Barbee Joey,2007-03-31,Active,,26.32%,11.36%,18.18%,75.93%,41.18%,36.36%,27.78%,28.47%,0.00%,76.43%,100.00%,59.09%,2088.00,1840.50,789.00,227.00,20.50,8.00,1071.50,42.87%
Staff 16-17,28,PC - 3,Kynthia Hildy,Level 3,Location 2,Client Service Staff,Confirmed Staff,Barbee Joey,2007-07-31,Active,,10.12%,4.76%,66.88%,100.00%,70.59%,40.00%,71.43%,90.91%,58.82%,80.95%,65.00%,43.48%,2088.00,1910.00,1111.50,144.00,34.00,96.00,722.50,58.19%
Staff 16-17,29,PC - 1,Cynthia Leonora,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2007-11-30,Active,,48.21%,23.53%,54.55%,59.06%,70.65%,39.88%,0.00%,52.38%,105.00%,68.75%,16.67%,77.50%,2088.00,1893.00,997.00,168.00,27.00,8.00,1045.00,52.67%
Staff 16-17,30,PC - 3,Kristina Alleen,Level 4,Location 1,Client Service Staff,Confirmed Staff,Barbee Joey,2008-04-30,Active,,25.00%,0.00%,0.00%,71.43%,0.00%,0.00%,0.00%,16.67%,0.00%,15.00%,0.00%,130.43%,2088.00,1865.50,448.00,216.00,6.50,910.00,619.50,24.02%
Staff 16-17,31,PC - 3,Nikolia Shirl,Level 4,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2008-04-30,Active,,-7.50%,0.00%,40.91%,38.10%,47.83%,40.00%,23.81%,45.45%,47.06%,-14.29%,15.89%,0.00%,2088.00,1959.00,460.00,120.00,9.00,274.00,1238.00,23.48%
