"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
1,"Rochette Jilleen",4168,3666.5,1084,404,97.5,2623.5,74,29.66,17.51,"PC - 1","Level 2","Location 3","Level 1/2","Idalina Lauraine","Client Service Staff",Active
2,"Daryl Natalina",4168,3750,1277.5,364,54,1294.5,1330.5,34.08,18.85,"PC - 2","Level 2","Location 7","Level 1/2","Idalina Lauraine","Client Service Staff",Active
3,"Annnora Gabrielle",4168,3618.5,2177.5,482,67.5,970.5,907,60.56,17.17,"PC - 2","Level 2","Location 7","Level 1/2","Idalina Lauraine","Client Service Staff",Active
4,"Barbee Joey",3928,3491.5,546,404,32.5,2743,279,15.7,17.51,"PC - 3","Level 2","Location 1","Level 1/2","Idalina Lauraine","Client Service Staff",Active
5,"Idalina Lauraine",1312,1205,149,104,3,1159,818,6.18,19.76,"PC - 4","Level 1","Location 3","Level 1/2","Abagail Druci","Client Service Staff",Active
6,"Jordanna Danya",4168,3635,899,520,13,2657,731,24.73,15.76,"PC - 1","Level 2","Location 3","Level 1/2","Idalina Lauraine","Client Service Staff",Active
7,"Irene Candis",4168,3481,645,582,105,2507,407,18.54,13.67,"PC - 1","Level 3","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
8,"Kakalina Lorry",1744,1528,97,216,0,1264,192,3.18,12.51,"PC - 3","Level 4","Location 1","Serving Notice Period","Tallia Eyde","Client Service Staff",Resigned
9,"Marleah Bernadina",4168,3604,796.68,560,14,2465.5,352,22.14,13.51,"PC - 2","Level 3","Location 9","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
10,"Guenevere Florida",4168,3772,554,388,8,2522,700,14.7,13.42,"PC - 5","Level 3","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
11,"Aili Nessy",1616,1528,720,88,0,0,888,23.56,12.18,"PC - 3","Level 4","Location 1","Serving Notice Period","Cacilia Aimee","Client Service Staff",Resigned
12,"Revkah Stephie",4168,3730,2860,380,58,859,531,76.56,13.34,"PC - 3","Level 2","Location 1","Level 1/2","Barbee Joey","Client Service Staff",Active
13,"Cacilia Aimee",4168,3642,501,408,118,2279,1856.5,13.7,13.25,"PC - 3","Level 2","Location 1","Level 1/2","Idalina Lauraine","Client Service Staff",Active
